Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9360,1934 February 14,00:38:41,24,-815,139,T,0.4868,1.0321,13.2N,161.7E,61,155,123,02m53s,1934-02-14 00:38:41,1934-02-14T00:38:41.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",325.543,-0.0842134,325.554,-0.00561388
9361,1934 August 10,08:37:48,24,-809,144,A,-0.6890000000000001,0.9436,24.5S,34.6E,46,25,280,06m33s,1934-08-10 08:37:48,1934-08-10T08:37:48.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",138.414,-0.945639,137.928,0.00421459
9362,1935 January 5,05:35:46,24,-804,111,Pe,-1.5381,0.0013,64.7S,110.2W,0,205,,,1935-01-05 05:35:46,1935-01-05T05:35:46.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",285.658,-2.28791,284.863,-0.00984048
9363,1935 February 3,16:16:20,24,-803,149,P,1.1438,0.7390000000000001,62.5N,115.4W,0,128,,,1935-02-03 16:16:20,1935-02-03T16:16:20.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",313.83,0.642615,314.816,-0.00669772
9364,1935 June 30,19:59:46,24,-798,116,P,1.3623,0.3375,65.2N,39.1E,0,340,,,1935-06-30 19:59:46,1935-06-30T19:59:46.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",98.6469,0.467817,98.974,0.00622027
9365,1935 July 30,09:16:28,24,-797,154,P,-1.4259,0.2315,62.9S,5.9W,0,45,,,1935-07-30 09:16:28,1935-07-30T09:16:28.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",127.482,-1.62881,127.174,0.00533235
9366,1935 December 25,17:59:52,24,-792,121,A,-0.9228,0.9752,83.5S,9.4E,22,258,234,01m30s,1935-12-25 17:59:52,1935-12-25T17:59:52.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",273.327,-1.42783,273.916,-0.00960913
9367,1936 June 19,05:20:31,24,-786,126,T,0.5389,1.0329,56.1N,104.7E,57,188,132,02m31s,1936-06-19 05:20:31,1936-06-19T05:20:31.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",89.3614,-0.100358,88.6129,0.00665773
9368,1936 December 13,23:28:12,24,-780,131,A,-0.2493,0.9349,37.8S,172.6W,75,357,251,07m25s,1936-12-13 23:28:12,1936-12-13T23:28:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",262.788,-0.552237,262.684,-0.00918294
9369,1937 June 8,20:41:02,24,-774,136,T,-0.2253,1.0751,9.9N,130.5W,77,0,250,07m04s,1937-06-08 20:41:02,1937-06-08T20:41:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",77.9291,-1.04857,78.468,0.00612264
9370,1937 December 2,23:05:45,24,-768,141,A,0.4389,0.9184,4.0N,167.8W,64,182,344,12m00s,1937-12-02 23:05:45,1937-12-02T23:05:45.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",251.253,0.0473247,251.233,-0.00880637
9371,1938 May 29,13:50:19,24,-762,146,T,-0.9607,1.0552,52.7S,22.0W,16,354,675,04m05s,1938-05-29 13:50:19,1938-05-29T13:50:19.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",67.7461,-1.35017,68.3755,0.00685785
9372,1938 November 21,23:52:25,24,-756,151,P,1.1077,0.7781,68.9N,162.0W,0,198,,,1938-11-21 23:52:25,1938-11-21T23:52:25.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",240.003,0.656861,239.868,-0.00822122
9373,1939 April 19,16:45:53,24,-751,118,A,0.9388,0.9731,73.1N,129.1W,20,118,285,01m49s,1939-04-19 16:45:53,1939-04-19T16:45:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",28.8132,0.532757,29.5715,0.00360807
9374,1939 October 12,20:40:23,24,-745,123,T,-0.9737,1.0266,72.8S,155.1E,12,74,418,01m32s,1939-10-12 20:40:23,1939-10-12T20:40:23.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",199.407,-1.6823,199.45,-0.00519831
9375,1940 April 7,20:21:21,24,-739,128,A,0.21899999999999997,0.9394,19.2N,128.5W,77,163,230,07m30s,1940-04-07 20:21:21,1940-04-07T20:21:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",18.046,-0.261004,18.6877,0.00191945
9376,1940 October 1,12:44:06,25,-733,133,T,-0.2573,1.0645,17.5S,18.2W,75,18,218,05m35s,1940-10-01 12:44:06,1940-10-01T12:44:06.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",189.044,-1.08741,189.003,-0.00390438
9377,1941 March 27,20:08:08,25,-727,138,A,-0.5025,0.9355,26.2S,110.9W,60,341,276,07m41s,1941-03-27 20:08:08,1941-03-27T20:08:08.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",6.84927,-0.852821,7.57966,0.000596879
9378,1941 September 21,04:34:03,25,-721,143,T,0.4649,1.0379,27.3N,119.1E,62,200,143,03m22s,1941-09-21 04:34:03,1941-09-21T04:34:03.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",179.491,0.10072,178.611,-0.00135347
9379,1942 March 16,23:37:07,25,-715,148,P,-1.1908,0.6393,72.2S,76.8W,0,264,,,1942-03-16 23:37:07,1942-03-16T23:37:07.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",356.241,-1.70005,356.555,-0.00150725
